Gene_Name,CTRL_0,CTRL_1,CTRL_2,P4_0,P4_1,P4_2,IL1B_0,IL1B_1,IL1B_2,FSK_0,FSK_1,FSK_2,FSK_P4_0,FSK_P4_1,FSK_P4_2,P4_IL1B_0,P4_IL1B_1,P4_IL1B_2,FSK_IL1B_0,FSK_IL1B_1,FSK_IL1B_2,FSK_P4_IL1B_0,FSK_P4_IL1B_1,FSK_P4_IL1B_2
SNRNP40,46.6115,43.8351,39.9092,48.6682,47.4085,41.5465,47.152,45.26,46.2277,45.7443,45.7607,45.0503,49.39,45.6082,49.1212,45.675,44.4168,46.1308,41.4499,41.0747,44.8597,43.6373,43.3507,40.5393
SNRNP48,7.06005,7.53614,3.95137,7.19787,7.43132,4.27291,6.4312,7.24227,5.4238,7.933,8.68008,6.04033,8.56297,8.27167,8.17894,6.80074,6.62401,6.21655,8.06941,9.47392,6.0068,7.76056,7.20051,4.97227
SNRNP70,98.2955,129.731,178.479,117.696,146.362,186.688,107.726,128.103,141.999,92.7179,122.611,120.216,89.6641,130.765,91.3562,96.2152,130.94,124.593,108.882,97.4338,103.988,115.226,156.385,143.825
SNRPA,56.2891,54.6571,62.8478,57.1129,54.6467,61.7795,54.3909,57.9244,58.4161,44.987,42.373,44.0391,47.2371,51.7482,41.4846,47.7366,48.7096,44.1841,44.695,38.3256,40.9218,46.3222,50.4271,55.2829
SNRPA1,7.02249,9.1932,6.6973,7.75744,9.13078,7.24175,7.40267,6.77805,6.7958,5.75181,6.73739,5.8384,6.26327,6.65984,6.04733,7.09082,7.69599,6.6868,5.37178,6.42068,5.23964,5.40865,7.15814,4.06448
SNRPB,292.958,312.028,423.236,325.052,340.809,442.998,305.567,329.313,383.582,223.814,233.322,261.837,230.956,264.692,253.883,285.252,311.333,312.393,229.496,197.023,256.399,242.433,275.279,335.712
SNRPB2,41.2815,44.2373,24.8265,40.4469,39.2321,22.9897,42.4423,41.4535,33.3796,36.5122,37.1312,26.773,35.2722,33.7227,36.7532,42.0272,38.5522,35.5146,35.586,42.1663,27.2884,39.5156,33.1156,23.9159
SNRPC,83.2673,83.2836,67.4352,89.4772,78.4686,66.651,84.9462,82.459,73.4067,68.1035,66.6405,62.2607,76.2667,70.9963,63.1129,73.7365,71.0196,59.6969,69.3344,59.3577,54.2165,73.2845,68.0055,68.9445
SNRPD1,36.2539,40.969,22.8547,36.6101,40.703,22.9679,34.3281,37.3359,26.5793,23.7995,26.7892,19.3555,31.6006,27.7063,26.1322,31.0387,32.3714,26.6773,24.4801,25.1209,18.4584,26.5756,24.9431,18.1793
SNRPD2,303.442,388.932,495.405,351.382,420.375,506.868,334.741,421.018,384.173,268.389,299.733,299.938,280.457,365.466,271.728,292.783,372.877,321.646,266.015,280.705,275.494,295.257,358.751,389.738
SNRPD3,63.8219,68.0769,56.0318,66.4654,69.859,56.9005,65.3325,65.7752,60.5351,52.3889,51.9731,48.3358,58.7437,57.2597,53.8649,60.6037,57.1449,59.6179,50.1375,49.4285,45.631,55.8,54.9534,47.722
SNRPE,19.7547,23.0591,13.5295,20.373,21.2647,13.1132,19.5688,20.5762,14.171,17.572,18.3039,11.236,14.6835,16.972,16.7393,19.4368,18.5671,16.3889,16.2144,15.0664,12.6353,17.2844,20.6477,11.4181
SNRPF,42.9523,40.6521,27.5808,42.1081,40.4192,29.5029,39.7372,41.4831,33.5068,28.9695,29.4672,25.4635,38.4842,29.6551,34.1606,38.3211,33.7498,31.5028,31.0214,27.0141,24.7171,32.35,26.2676,23.3762
SNRPG,17.7918,23.1068,14.967,20.6188,21.063,15.6664,17.1829,20.4959,15.5192,16.2706,18.1756,11.8024,16.7121,17.4634,14.4264,15.5587,19.2301,12.6501,15.1924,14.4163,12.7449,19.649,17.197,12.6642
SNRPN,40.9786,43.5549,55.1434,46.3318,49.3092,56.4825,40.1154,43.9454,44.5164,46.2941,48.2209,56.2761,44.2612,51.6765,51.5138,40.651,44.7101,44.3003,46.0301,43.488,52.0798,44.3541,50.4493,57.1682
SNTA1,5.38169,6.2057,8.38947,6.24136,7.638,9.06117,5.53757,5.74019,6.02314,6.132,5.54525,6.97019,5.65605,5.88839,6.36429,5.15318,4.59146,4.82184,5.23641,4.28489,6.30327,5.00009,5.91217,8.20462
SNTB1,3.17328,3.24198,1.91405,6.05741,5.83731,3.69528,2.99505,2.8147,2.28916,4.12857,4.60783,3.29517,5.45776,5.01522,5.37684,7.77091,7.27186,6.36408,4.88147,5.03075,3.87389,5.38638,4.89823,3.48464
SNTB2,8.79212,8.12945,4.88059,7.56264,6.87691,4.60676,8.71121,8.19049,7.15529,8.22482,7.46079,6.55835,8.52282,6.87718,8.14308,7.6326,6.86514,6.61862,9.42154,9.67554,8.2542,8.31135,7.18806,5.4553
SNTN,0.114477,0.120436,0.132256,0.0638835,0.203724,0.0598488,0.212214,0.127451,0.160833,0.120853,0.0409123,0.019295,0.106181,0.0530562,0.0967078,0.125996,0.0389562,0.0195426,0.0211016,0.121847,0.0192607,0.122322,0.0497991,0.0551417
SNUPN,17.2651,20.9314,20.8986,19.5687,22.6958,23.0215,18.8204,21.7894,21.0488,15.9488,17.7166,19.1841,18.5407,19.6171,17.3838,17.5362,20.4311,21.5715,15.9475,15.5198,17.4974,15.0497,19.0255,18.5238
SNW1,35.4349,47.1555,31.7541,38.6317,46.8411,33.4219,38.4404,52.0277,36.7587,32.8004,46.856,35.7281,41.233,44.7684,38.6544,34.9421,42.6822,36.6903,34.6006,44.6301,33.9937,35.7589,40.0189,32.7376
SNX1,8.02468,8.24124,6.26707,8.68034,8.564,6.75298,7.74122,7.49856,7.40598,9.42752,9.25198,8.71,10.5808,8.9867,10.119,9.23554,8.44438,8.90688,8.7851,9.03084,8.59988,9.58227,9.09759,7.87058
SNX10,1.97682,2.29507,0.705208,2.3384,2.44646,1.11414,0.971059,1.01359,0.778725,1.37351,1.60509,0.987026,2.68169,2.17659,2.3443,2.57641,2.19661,1.67267,1.21468,1.56761,0.948281,2.65613,2.3523,1.32171
SNX11,12.954,11.4574,13.9975,13.2292,12.0226,15.1218,15.1184,13.9347,17.3785,14.2636,11.9852,14.9194,13.8693,11.8101,13.7798,15.9308,14.9558,15.5408,15.2659,14.6614,18.6118,12.8868,13.0912,15.7529
SNX12,38.3279,34.2051,40.2685,35.1477,31.3674,38.3189,36.6289,33.8233,41.5762,29.9968,25.5434,32.901,33.8356,29.5698,34.4197,36.8407,31.7106,37.2369,28.7514,25.7768,33.6734,32.3238,29.0737,34.9529
SNX13,9.92814,10.5547,5.39635,10.5442,10.2025,5.38444,10.6998,10.9462,8.23617,11.7526,11.6748,8.53096,12.6145,10.4584,11.4702,12.7129,11.6238,9.37652,11.7903,14.4722,9.07714,12.8831,10.4713,7.53791
SNX14,30.8345,32.1665,18.9862,34.6697,32.7392,19.2809,28.1256,28.5533,22.889,33.8533,36.1319,26.4315,38.3974,35.5364,37.3903,34.858,34.4783,29.8896,35.4338,38.8717,27.1799,38.5197,33.6682,26.64
